"행정구역","2015년_거주자 인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_거주자 인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_거주자 인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_거주자 인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_거주자 인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_거주자 인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_거주자 인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_거주자 인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_거주자 인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"경기도 경기도 수원시 (4111000000)","1,176,057","455,878","          2.58","591,425","584,632","          1.01","1,185,179","464,848","          2.55","596,000","589,179","          1.01","1,193,841","476,339","          2.51","600,786","593,055","          1.01","1,192,235","485,631","          2.46","599,829","592,406","          1.01","1,185,494","491,576","          2.41","596,388","589,106","          1.01","1,177,445","500,041","          2.35","592,371","585,074","          1.01","1,177,170","512,736","          2.30","592,179","584,991","          1.01","1,185,567","524,358","          2.26","596,443","589,124","          1.01","1,191,770","532,934","          2.24","599,125","592,645","          1.01","1,187,596","536,642","          2.21","596,480","591,116","          1.01"
"경기도 경기도 수원시 장안구 (4111100000)","296,793","113,347","          2.62","149,023","147,770","          1.01","294,230","113,679","          2.59","147,691","146,539","          1.01","291,618","114,714","          2.54","146,544","145,074","          1.01","284,200","114,456","          2.48","142,885","141,315","          1.01","276,201","113,444","          2.43","139,001","137,200","          1.01","271,614","114,137","          2.38","136,702","134,912","          1.01","272,294","117,258","          2.32","136,980","135,314","          1.01","269,239","117,815","          2.29","135,341","133,898","          1.01","269,551","118,888","          2.27","135,395","134,156","          1.01","273,364","121,697","          2.25","137,000","136,364","          1.00"
"경기도 수원시 장안구 파장동(4111156000)","25,470","10,147","          2.51","12,763","12,707","          1.00","25,262","10,180","          2.48","12,674","12,588","          1.01","24,716","10,164","          2.43","12,463","12,253","          1.02","24,263","10,218","          2.37","12,256","12,007","          1.02","23,708","10,188","          2.33","11,941","11,767","          1.01","23,364","10,379","          2.25","11,758","11,606","          1.01","23,043","10,507","          2.19","11,642","11,401","          1.02","22,552","10,447","          2.16","11,425","11,127","          1.03","24,712","11,298","          2.19","12,463","12,249","          1.02","24,609","11,358","          2.17","12,368","12,241","          1.01"
"경기도 수원시 장안구 율천동(4111156600)","44,331","18,625","          2.38","23,325","21,006","          1.11","44,007","18,767","          2.34","23,079","20,928","          1.10","44,429","19,308","          2.30","23,372","21,057","          1.11","44,564","19,802","          2.25","23,402","21,162","          1.11","43,738","19,984","          2.19","23,049","20,689","          1.11","42,910","19,720","          2.18","22,648","20,262","          1.12","42,013","19,913","          2.11","22,243","19,770","          1.13","41,303","19,884","          2.08","21,818","19,485","          1.12","40,249","19,456","          2.07","21,240","19,009","          1.12","39,724","19,333","          2.05","21,015","18,709","          1.12"
"경기도 수원시 장안구 정자1동(4111157100)","35,020","12,087","          2.90","17,397","17,623","          0.99","34,818","12,071","          2.88","17,313","17,505","          0.99","34,127","12,002","          2.84","16,939","17,188","          0.99","31,568","11,254","          2.81","15,598","15,970","          0.98","30,491","10,999","          2.77","15,090","15,401","          0.98","29,636","10,961","          2.70","14,599","15,037","          0.97","28,772","10,878","          2.64","14,148","14,624","          0.97","27,985","10,737","          2.61","13,752","14,233","          0.97","27,444","10,686","          2.57","13,465","13,979","          0.96","33,361","13,137","          2.54","16,325","17,036","          0.96"
"경기도 수원시 장안구 정자2동(4111157200)","32,811","12,204","          2.69","16,243","16,568","          0.98","32,360","12,182","          2.66","16,050","16,310","          0.98","31,674","12,183","          2.60","15,698","15,976","          0.98","30,957","12,272","          2.52","15,255","15,702","          0.97","30,168","12,191","          2.47","14,816","15,352","          0.97","29,817","12,333","          2.42","14,629","15,188","          0.96","35,872","14,798","          2.42","17,583","18,289","          0.96","36,363","15,086","          2.41","17,811","18,552","          0.96","37,602","15,614","          2.41","18,475","19,127","          0.97","38,433","16,048","          2.39","18,781","19,652","          0.96"
"경기도 수원시 장안구 정자3동(4111157300)","45,761","14,232","          3.22","22,713","23,048","          0.99","45,428","14,236","          3.19","22,562","22,866","          0.99","44,582","14,188","          3.14","22,149","22,433","          0.99","44,031","14,273","          3.08","21,936","22,095","          0.99","43,329","14,183","          3.05","21,588","21,741","          0.99","42,663","14,237","          3.00","21,323","21,340","          1.00","41,319","14,215","          2.91","20,618","20,701","          1.00","40,249","14,078","          2.86","20,094","20,155","          1.00","39,527","14,004","          2.82","19,728","19,799","          1.00","38,903","14,027","          2.77","19,435","19,468","          1.00"
"경기도 수원시 장안구 영화동(4111158000)","21,794","10,289","          2.12","10,874","10,920","          1.00","21,658","10,247","          2.11","10,822","10,836","          1.00","21,148","10,140","          2.09","10,583","10,565","          1.00","20,725","10,135","          2.04","10,451","10,274","          1.02","20,269","10,163","          1.99","10,297","9,972","          1.03","20,004","10,375","          1.93","10,202","9,802","          1.04","19,689","10,554","          1.87","10,032","9,657","          1.04","19,298","10,565","          1.83","9,811","9,487","          1.03","18,422","10,219","          1.80","9,408","9,014","          1.04","17,825","10,041","          1.78","9,112","8,713","          1.05"
"경기도 수원시 장안구 송죽동(4111159100)","18,911","7,691","          2.46","9,395","9,516","          0.99","18,595","7,682","          2.42","9,227","9,368","          0.98","20,610","8,510","          2.42","10,242","10,368","          0.99","20,282","8,599","          2.36","10,090","10,192","          0.99","19,757","8,556","          2.31","9,850","9,907","          0.99","19,537","8,679","          2.25","9,688","9,849","          0.98","19,346","8,844","          2.19","9,587","9,759","          0.98","19,033","8,826","          2.16","9,431","9,602","          0.98","18,386","8,680","          2.12","9,134","9,252","          0.99","18,115","8,753","          2.07","8,970","9,145","          0.98"
"경기도 수원시 장안구 조원1동(4111159700)","32,092","12,695","          2.53","16,114","15,978","          1.01","31,815","12,772","          2.49","15,981","15,834","          1.01","31,054","12,747","          2.44","15,612","15,442","          1.01","29,752","12,534","          2.37","14,934","14,818","          1.01","29,082","12,513","          2.32","14,591","14,491","          1.01","28,554","12,593","          2.27","14,360","14,194","          1.01","28,041","12,747","          2.20","14,149","13,892","          1.02","29,061","13,421","          2.17","14,624","14,437","          1.01","28,435","13,304","          2.14","14,269","14,166","          1.01","27,716","13,198","          2.10","13,889","13,827","          1.00"
"경기도 수원시 장안구 조원2동(4111159800)","20,512","6,448","          3.18","9,954","10,558","          0.94","20,464","6,531","          3.13","9,889","10,575","          0.94","20,084","6,531","          3.08","9,722","10,362","          0.94","19,801","6,582","          3.01","9,605","10,196","          0.94","19,396","6,513","          2.98","9,379","10,017","          0.94","19,066","6,538","          2.92","9,204","9,862","          0.93","18,470","6,480","          2.85","8,879","9,591","          0.93","17,978","6,447","          2.79","8,623","9,355","          0.92","17,651","6,411","          2.75","8,425","9,226","          0.91","17,523","6,452","          2.72","8,327","9,196","          0.91"
"경기도 수원시 장안구 연무동(4111160000)","20,091","8,929","          2.25","10,245","9,846","          1.04","19,823","9,011","          2.20","10,094","9,729","          1.04","19,194","8,941","          2.15","9,764","9,430","          1.04","18,257","8,787","          2.08","9,358","8,899","          1.05","16,263","8,154","          1.99","8,400","7,863","          1.07","16,063","8,322","          1.93","8,291","7,772","          1.07","15,729","8,322","          1.89","8,099","7,630","          1.06","15,417","8,324","          1.85","7,952","7,465","          1.07","17,123","9,216","          1.86","8,788","8,335","          1.05","17,155","9,350","          1.83","8,778","8,377","          1.05"
"경기도 경기도 수원시 권선구 (4111300000)","348,719","134,249","          2.60","175,536","173,183","          1.01","355,989","138,708","          2.57","179,358","176,631","          1.02","363,329","143,517","          2.53","183,038","180,291","          1.02","375,290","150,421","          2.49","189,155","186,135","          1.02","369,336","150,702","          2.45","186,272","183,064","          1.02","366,387","153,041","          2.39","184,809","181,578","          1.02","362,387","155,626","          2.33","182,909","179,478","          1.02","366,086","160,011","          2.29","184,849","181,237","          1.02","364,871","162,791","          2.24","184,165","180,706","          1.02","361,355","163,680","          2.21","182,396","178,959","          1.02"
"경기도 수원시 권선구 세류1동(4111352000)","9,789","3,986","          2.46","4,911","4,878","          1.01","10,797","4,310","          2.51","5,438","5,359","          1.01","10,735","4,293","          2.50","5,407","5,328","          1.01","10,695","4,313","          2.48","5,331","5,364","          0.99","10,404","4,293","          2.42","5,178","5,226","          0.99","10,273","4,336","          2.37","5,135","5,138","          1.00","10,024","4,377","          2.29","5,025","4,999","          1.01","9,782","4,352","          2.25","4,952","4,830","          1.03","9,646","4,394","          2.20","4,865","4,781","          1.02","9,568","4,383","          2.18","4,811","4,757","          1.01"
"경기도 수원시 권선구 세류2동(4111353000)","26,350","11,972","          2.20","13,383","12,967","          1.03","25,770","11,878","          2.17","13,179","12,591","          1.05","25,432","12,075","          2.11","12,952","12,480","          1.04","24,802","12,043","          2.06","12,674","12,128","          1.05","23,704","11,754","          2.02","12,151","11,553","          1.05","23,320","11,882","          1.96","12,019","11,301","          1.06","23,325","12,153","          1.92","12,034","11,291","          1.07","23,326","12,403","          1.88","12,042","11,284","          1.07","22,738","12,336","          1.84","11,736","11,002","          1.07","22,122","12,202","          1.81","11,454","10,668","          1.07"
"경기도 수원시 권선구 세류3동(4111354000)","23,744","10,097","          2.35","11,872","11,872","          1.00","23,276","10,098","          2.31","11,642","11,634","          1.00","23,006","10,148","          2.27","11,493","11,513","          1.00","21,093","9,547","          2.21","10,547","10,546","          1.00","19,855","9,123","          2.18","9,973","9,882","          1.01","19,047","8,998","          2.12","9,578","9,469","          1.01","18,571","9,023","          2.06","9,354","9,217","          1.01","18,159","9,036","          2.01","9,131","9,028","          1.01","17,689","8,991","          1.97","8,863","8,826","          1.00","17,295","8,860","          1.95","8,695","8,600","          1.01"
"경기도 수원시 권선구 평동(4111355000)","35,723","13,304","          2.69","18,132","17,591","          1.03","37,429","14,136","          2.65","19,026","18,403","          1.03","36,876","14,216","          2.59","18,759","18,117","          1.04","42,250","16,456","          2.57","21,490","20,760","          1.04","40,727","16,080","          2.53","20,690","20,037","          1.03","40,796","16,403","          2.49","20,667","20,129","          1.03","40,213","16,528","          2.43","20,340","19,873","          1.02","40,608","16,849","          2.41","20,515","20,093","          1.02","40,855","17,304","          2.36","20,619","20,236","          1.02","40,515","17,496","          2.32","20,381","20,134","          1.01"
"경기도 수원시 권선구 서둔동(4111356000)","41,673","16,490","          2.53","21,066","20,607","          1.02","41,443","16,559","          2.50","20,960","20,483","          1.02","40,874","16,592","          2.46","20,695","20,179","          1.03","39,740","16,504","          2.41","20,158","19,582","          1.03","38,644","16,468","          2.35","19,648","18,996","          1.03","38,012","16,603","          2.29","19,322","18,690","          1.03","37,814","17,112","          2.21","19,255","18,559","          1.04","37,485","17,404","          2.15","19,102","18,383","          1.04","37,495","17,798","          2.11","19,147","18,348","          1.04","36,913","17,786","          2.08","18,840","18,073","          1.04"
"경기도 수원시 권선구 구운동(4111365000)","27,859","10,673","          2.61","14,082","13,777","          1.02","27,436","10,655","          2.57","13,863","13,573","          1.02","26,757","10,617","          2.52","13,513","13,244","          1.02","25,788","10,485","          2.46","13,053","12,735","          1.02","25,115","10,406","          2.41","12,676","12,439","          1.02","24,638","10,522","          2.34","12,415","12,223","          1.02","24,122","10,663","          2.26","12,194","11,928","          1.02","23,838","10,768","          2.21","12,072","11,766","          1.03","23,070","10,595","          2.18","11,692","11,378","          1.03","22,678","10,531","          2.15","11,509","11,169","          1.03"
"경기도 수원시 권선구 금호동(4111366000)","64,014","21,815","          2.93","31,745","32,269","          0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"경기도 수원시 권선구 금곡동(4111366200)","0","0","          0.00","0","0","          0.00","36,525","12,504","          2.92","18,127","18,398","          0.99","45,112","15,520","          2.91","22,431","22,681","          0.99","45,744","16,138","          2.83","22,636","23,108","          0.98","45,727","16,622","          2.75","22,618","23,109","          0.98","45,760","17,093","          2.68","22,633","23,127","          0.98","45,391","17,469","          2.60","22,362","23,029","          0.97","44,777","17,545","          2.55","22,064","22,713","          0.97","43,938","17,544","          2.50","21,603","22,335","          0.97","44,660","18,532","          2.41","21,928","22,732","          0.96"
"경기도 수원시 권선구 호매실동(4111366400)","0","0","          0.00","0","0","          0.00","29,104","10,311","          2.82","14,415","14,689","          0.98","30,749","11,113","          2.77","15,272","15,477","          0.99","42,764","15,503","          2.76","21,336","21,428","          1.00","45,641","16,567","          2.75","22,689","22,952","          0.99","46,385","16,997","          2.73","23,091","23,294","          0.99","46,112","17,216","          2.68","22,949","23,163","          0.99","45,336","17,235","          2.63","22,455","22,881","          0.98","44,548","17,179","          2.59","22,061","22,487","          0.98","44,020","17,187","          2.56","21,759","22,261","          0.98"
"경기도 수원시 권선구 권선1동(4111367000)","24,837","10,811","          2.30","12,553","12,284","          1.02","25,161","11,265","          2.23","12,714","12,447","          1.02","24,895","11,471","          2.17","12,596","12,299","          1.02","25,163","12,063","          2.09","12,777","12,386","          1.03","24,623","12,216","          2.02","12,517","12,106","          1.03","24,652","12,684","          1.94","12,528","12,124","          1.03","24,495","13,031","          1.88","12,495","12,000","          1.04","24,246","13,372","          1.81","12,388","11,858","          1.04","24,057","13,594","          1.77","12,284","11,773","          1.04","23,969","13,837","          1.73","12,295","11,674","          1.05"
"경기도 수원시 권선구 권선2동(4111368000)","46,047","14,490","          3.18","22,799","23,248","          0.98","50,939","16,396","          3.11","25,270","25,669","          0.98","51,717","16,895","          3.06","25,571","26,146","          0.98","51,256","16,976","          3.02","25,287","25,969","          0.97","50,216","17,060","          2.94","24,793","25,423","          0.98","49,431","17,210","          2.87","24,299","25,132","          0.97","48,349","17,246","          2.80","23,765","24,584","          0.97","47,308","17,171","          2.76","23,262","24,046","          0.97","46,430","17,134","          2.71","22,776","23,654","          0.96","45,725","17,052","          2.68","22,434","23,291","          0.96"
"경기도 수원시 권선구 곡선동(4111369000)","30,319","14,538","          2.09","15,729","14,590","          1.08","29,656","14,440","          2.05","15,449","14,207","          1.09","29,099","14,417","          2.02","15,251","13,848","          1.10","28,408","14,261","          1.99","14,990","13,418","          1.12","27,555","14,034","          1.96","14,685","12,870","          1.14","27,219","14,159","          1.92","14,581","12,638","          1.15","27,493","14,652","          1.88","14,798","12,695","          1.17","35,141","17,773","          1.98","18,673","16,468","          1.13","34,796","17,777","          1.96","18,547","16,249","          1.14","34,228","17,536","          1.95","18,308","15,920","          1.15"
"경기도 수원시 권선구 입북동(4111370000)","18,364","6,073","          3.02","9,264","9,100","          1.02","18,453","6,156","          3.00","9,275","9,178","          1.01","18,077","6,160","          2.93","9,098","8,979","          1.01","17,587","6,132","          2.87","8,876","8,711","          1.02","17,125","6,079","          2.82","8,654","8,471","          1.02","16,854","6,154","          2.74","8,541","8,313","          1.03","16,478","6,156","          2.68","8,338","8,140","          1.02","16,080","6,103","          2.63","8,193","7,887","          1.04","19,609","8,145","          2.41","9,972","9,637","          1.03","19,662","8,278","          2.38","9,982","9,680","          1.03"
